id,user_id,date,amount,category,description,type,account
1,1,2024-06-01T10:00:00,150.75,Groceries,Weekly grocery shopping,EXPENSE,Checking
2,1,2024-06-02T14:30:00,1200.00,Salary,June salary payment,INCOME,Savings
3,1,2024-06-05T09:15:00,45.20,Utilities,Electric bill payment,EXPENSE,Checking
4,1,2024-06-10T16:00:00,75.50,Entertainment,Movie tickets,EXPENSE,Credit Card
5,1,2024-06-12T12:00:00,200.00,Groceries,Monthly grocery shopping,EXPENSE,Checking
6,1,2024-06-15T08:30:00,60.00,Transportation,Bus fare,EXPENSE,Credit Card
7,1,2024-06-18T18:00:00,300.00,Salary,Extra freelance income,INCOME,Checking
8,1,2024-06-22T11:00:00,120.00,Healthcare,Doctor's visit,EXPENSE,Checking
9,1,2024-06-25T13:00:00,100.00,Entertainment,Concert tickets,EXPENSE,Credit Card
10,1,2024-07-01T10:00:00,150.00,Groceries,Weekly grocery shopping,EXPENSE,Checking
11,1,2024-07-02T14:30:00,1200.00,Salary,July salary payment,INCOME,Savings
12,1,2024-07-05T09:15:00,45.00,Utilities,Water bill payment,EXPENSE,Checking
13,1,2024-07-10T16:00:00,80.00,Entertainment,Movie tickets,EXPENSE,Credit Card
14,1,2024-07-12T12:00:00,210.00,Groceries,Monthly grocery shopping,EXPENSE,Checking
15,1,2024-07-15T08:30:00,55.00,Transportation,Taxi fare,EXPENSE,Credit Card
16,1,2024-07-18T18:00:00,350.00,Salary,Extra freelance income,INCOME,Checking
17,1,2024-07-22T11:00:00,130.00,Healthcare,Medication,EXPENSE,Checking
18,1,2024-07-25T13:00:00,110.00,Entertainment,Theater tickets,EXPENSE,Credit Card
19,1,2024-08-01T10:00:00,155.00,Groceries,Weekly grocery shopping,EXPENSE,Checking
20,1,2024-08-02T14:30:00,1200.00,Salary,August salary payment,INCOME,Savings
21,1,2024-08-05T09:15:00,50.00,Utilities,Internet bill payment,EXPENSE,Checking
22,1,2024-08-10T16:00:00,85.00,Entertainment,Movie tickets,EXPENSE,Credit Card
23,1,2024-08-12T12:00:00,220.00,Groceries,Monthly grocery shopping,EXPENSE,Checking
24,1,2024-08-15T08:30:00,60.00,Transportation,Subway fare,EXPENSE,Credit Card
25,1,2024-08-18T18:00:00,360.00,Salary,Extra freelance income,INCOME,Checking
26,1,2024-08-22T11:00:00,140.00,Healthcare,Doctor's visit,EXPENSE,Checking
27,1,2024-08-25T13:00:00,115.00,Entertainment,Concert tickets,EXPENSE,Credit Card
28,1,2024-09-01T10:00:00,160.00,Groceries,Weekly grocery shopping,EXPENSE,Checking
29,1,2024-09-02T14:30:00,1200.00,Salary,September salary payment,INCOME,Savings
30,1,2024-09-05T09:15:00,55.00,Utilities,Electric bill payment,EXPENSE,Checking
31,1,2024-09-10T16:00:00,90.00,Entertainment,Movie tickets,EXPENSE,Credit Card
32,1,2024-09-12T12:00:00,230.00,Groceries,Monthly grocery shopping,EXPENSE,Checking
33,1,2024-09-15T08:30:00,65.00,Transportation,Taxi fare,EXPENSE,Credit Card
34,1,2024-09-18T18:00:00,370.00,Salary,Extra freelance income,INCOME,Checking
35,1,2024-09-22T11:00:00,150.00,Healthcare,Medication,EXPENSE,Checking
36,1,2024-09-25T13:00:00,120.00,Entertainment,Theater tickets,EXPENSE,Credit Card
